Code plate-forme;Code gare;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
00983-1;00983;0087613489;;Lexos;82330;;;;;1.8851014;44.1423958;c;1;GARES C MIDI PYRENEES;;;;;;;;;;;;;;44.1423958,1.8851014
00987-1;00987;0087613398;;Albias;82350;;;;;1.4448012;44.0919078;c;1;GARES C MIDI PYRENEES;;;;;;;;;;;;;;44.0919078,1.4448012
00990-1;00990;0087613257;;Saint-Christophe-Vallon;12330;;;;;2.4077585;44.464619;c;1;GARES C MIDI PYRENEES;"[{""TVS_Code"": ""SIH""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Christophe-Vallon"", ""Alias_Libelle_Fronton"": ""Saint-Christophe"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION MIDI PYRENEES"", ""UG_Libelle"": ""UG Toulouse Occitanie Pyrénées"", ""UT_Libelle"": ""SAINT CHRISTOPHE (AVEYRON) GARE""}";Saint-Christophe-Vallon;Saint-Christophe;True;False;DRG Occitanie Sud;REGION MIDI PYRENEES;UG Toulouse Occitanie Pyrénées;SAINT CHRISTOPHE (AVEYRON) GARE;1;SIH;44.464619,2.4077585
00991-1;00991;0087613232;;Cransac;12110;;;;;2.2718666;44.522951;c;1;GARES C MIDI PYRENEES;;;;;;;;;;;;;;44.522951,2.2718666
00999-1;00999;0087613042;;Rocamadour - Padirac;46500;;;;;1.6573487;44.8183562;c;1;GARES C MIDI PYRENEES;;;;;;;;;;;;;;44.8183562,1.6573487
01001-1;01001;0087612028;;Labège Village;31670;;;;;1.5329207;43.5305367;c;1;GARES C MIDI PYRENEES;;;;;;;;;;;;;;43.5305367,1.5329207
01003-1;01003;0087612002;;Labège Innopole;31670;;;;;1.5129784;43.5473613;b;1;GARES B MIDI PYRENEES;;;;;;;;;;;;;;43.5473613,1.5129784
01008-1;01008;0087611921;;Colomiers Lycée International;31770;;;;;1.3141157;43.6163055;b;1;GARES B MIDI PYRENEES;"[{""TVS_Code"": ""LYF""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Colomiers Lycée International"", ""Alias_Libelle_Fronton"": ""Colomiers Lycée International"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION MIDI PYRENEES"", ""UG_Libelle"": ""UG Toulouse Occitanie Pyrénées"", ""UT_Libelle"": ""LYCEE INTERNATIONAL GARE""}";Colomiers Lycée International;Colomiers Lycée International;True;False;DRG Occitanie Sud;REGION MIDI PYRENEES;UG Toulouse Occitanie Pyrénées;LYCEE INTERNATIONAL GARE;1;LYF;43.6163055,1.3141157
01010-1;01010;0087611889;;Moissac;82200;;;;;1.077345;44.1024178;c;1;GARES C MIDI PYRENEES;"[{""TVS_Code"": ""MOI""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Moissac"", ""Alias_Libelle_Fronton"": ""Moissac"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION MIDI PYRENEES"", ""UG_Libelle"": ""UG Toulouse Occitanie Pyrénées"", ""UT_Libelle"": ""MOISSAC GARE""}";Moissac;Moissac;True;False;DRG Occitanie Sud;REGION MIDI PYRENEES;UG Toulouse Occitanie Pyrénées;MOISSAC GARE;1;MOI;44.1024178,1.077345
01011-1;01011;0087611871;;Malause;82200;;;;;0.9716854;44.0882672;c;1;GARES C MIDI PYRENEES;;;;;;;;;;;;;;44.0882672,0.9716854
01017-1;01017;0087611814;;Mérenvielle;31530;;;;;1.1503303;43.6365051;c;1;GARES C MIDI PYRENEES;;;;;;;;;;;;;;43.6365051,1.1503303
01020-1;01020;0087611764;;Aubiet;32270;;;;;0.7891179;43.6502068;c;1;GARES C MIDI PYRENEES;"[{""TVS_Code"": ""AIT""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Aubiet"", ""Alias_Libelle_Fronton"": ""Aubiet"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION MIDI PYRENEES"", ""UG_Libelle"": ""UG Toulouse Occitanie Pyrénées"", ""UT_Libelle"": ""AUBIET GARE""}";Aubiet;Aubiet;True;False;DRG Occitanie Sud;REGION MIDI PYRENEES;UG Toulouse Occitanie Pyrénées;AUBIET GARE;1;AIT;43.6502068,0.7891179
01021-1;01021;0087611749;;Auch;32000;;;;;0.596661;43.647488;b;1;GARES B MIDI PYRENEES;;;;;;;;;;;;;;43.647488,0.596661
01027-1;01027;0087611665;;Castelnau-d'Estrétefonds;31620;;;;;1.341761;43.786196;b;1;GARES B MIDI PYRENEES;;;;;;;;;;;;;;43.786196,1.341761
01043-1;01043;0087611400;;Portet Saint-Simon;31120;;;;;1.389243;43.527904;b;1;GARES B MIDI PYRENEES;;;;;;;;;;;;;;43.527904,1.389243
01047-1;01047;0087611368;;Saverdun;09700;;;;;1.570616;43.239357;b;1;GARES B MIDI PYRENEES;;;;;;;;;;;;;;43.239357,1.570616
01052-1;01052;0087611244;;Montauban Ville Bourbon;82000;;;;;1.341496;44.014387;a;2;GARE MONTAUBAN VILLE BOURBON;"[{""TVS_Code"": ""MBN""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Montauban Ville Bourbon"", ""Alias_Libelle_Fronton"": ""Montauban Ville Bourbon"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION MIDI PYRENEES"", ""UG_Libelle"": ""UG Toulouse Occitanie Pyrénées"", ""UT_Libelle"": ""MONTAUBAN VILLE BOURBON GARE""}";Montauban Ville Bourbon;Montauban Ville Bourbon;True;False;DRG Occitanie Sud;REGION MIDI PYRENEES;UG Toulouse Occitanie Pyrénées;MONTAUBAN VILLE BOURBON GARE;1;MBN;44.014387,1.341496
01071-1;01071;0087597849;;Felletin;23500;;;;;2.169543;45.8864021;c;1;GARES C LIMOUSIN;;;;;;;;;;;;;;45.8864021,2.169543
01079-1;01079;0087597625;;Marsac;23210;;;;;1.585556;46.0941348;c;1;GARES C LIMOUSIN;;;;;;;;;;;;;;46.0941348,1.585556
01080-1;01080;0087597609;;Guéret;23000;;;;;1.8793855;46.1741863;c;1;GARES C LIMOUSIN;"[{""TVS_Code"": ""GTJ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Guéret"", ""Alias_Libelle_Fronton"": ""Guéret"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION LIMOUSIN"", ""UG_Libelle"": ""UG Limousin"", ""UT_Libelle"": ""GUERET GARE""}";Guéret;Guéret;True;False;DRG Nlle Aquitaine;REGION LIMOUSIN;UG Limousin;GUERET GARE;1;GTJ;46.1741863,1.8793855
01085-1;01085;0087597096;;Luant;36350;;;;;1.5901964;46.7357683;c;1;GARES C CENTRE;;;;;;;;;;;;;;46.7357683,1.5901964
01087-1;01087;0087597062;;Issoudun;36100;;;;;1.985834;46.948763;b;1;GARES B CENTRE;;;;;;;;;;;;;;46.948763,1.985834
01091-1;01091;0087595892;;Villefranche-du-Périgord;24550;;;;;1.0490908;44.6270124;c;1;GARES C AQUITAINE;;;;;;;;;;;;;;44.6270124,1.0490908
01096-1;01096;0087595751;;Le Buisson-de-Cadouin;24480;;;;;0.9081756;44.84723;c;1;GARES C AQUITAINE;"[{""TVS_Code"": ""LBU""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Le Buisson-de-Cadouin"", ""Alias_Libelle_Fronton"": ""Le Buisson"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""LE BUISSON GARE""}";Le Buisson-de-Cadouin;Le Buisson;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;LE BUISSON GARE;1;LBU;44.84723,0.9081756
01097-1;01097;0087595744;;Le Bugue;24260;;;;;0.942795;44.9056892;c;1;GARES C AQUITAINE;;;;;;;;;;;;;;44.9056892,0.942795
01099-1;01099;0087595728;;Mauzens-et-Miremont;24260;;;;;0.9571897;44.9768912;c;1;GARES C AQUITAINE;;;;;;;;;;;;;;44.9768912,0.9571897
01113-1;01113;0087595249;;Saint-Astier;24110;;;;;0.522808;45.139027;b;1;GARES B AQUITAINE;;;;;;;;;;;;;;45.139027,0.522808
01116-1;01116;0087595207;2018-12-15;Marsac;24430;;;;;0.6626174;45.1860541;c;1;GARES C AQUITAINE;;;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Marsac"", ""Alias_Libelle_Fronton"": ""Marsac"", ""AgenceGC_Libelle"": ""Agence Nouvelle-Aquitaine"", ""RegionSNCF_Libelle"": null, ""UG_Libelle"": null, ""UT_Libelle"": null}";Marsac;Marsac;True;False;Agence Nouvelle-Aquitaine;;;;1;;45.1860541,0.6626174
01118-1;01118;0087595157;;Agonac;24460;;;;;0.7486706;45.2865966;c;1;GARES C AQUITAINE;"[{""TVS_Code"": ""AGA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Agonac"", ""Alias_Libelle_Fronton"": ""Agonac"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""AGONAC GARE""}";Agonac;Agonac;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;AGONAC GARE;1;AGA;45.2865966,0.7486706
01122-1;01122;0087594820;;Masseret;19510;;;;;1.5415396;45.536175;c;1;GARES C LIMOUSIN;"[{""TVS_Code"": ""MST""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Masseret"", ""Alias_Libelle_Fronton"": ""Masseret"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION LIMOUSIN"", ""UG_Libelle"": ""UG Limousin"", ""UT_Libelle"": ""MASSERET GARE""}";Masseret;Masseret;True;False;DRG Nlle Aquitaine;REGION LIMOUSIN;UG Limousin;MASSERET GARE;1;MST;45.536175,1.5415396
01124-1;01124;0087594762;;Bretenoux - Biars;46130;;;;;1.8436871;44.9273692;c;1;GARES C MIDI PYRENEES;"[{""TVS_Code"": ""BXB""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Bretenoux - Biars"", ""Alias_Libelle_Fronton"": ""Bretenoux - Biars"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION LIMOUSIN"", ""UG_Libelle"": ""UG Limousin"", ""UT_Libelle"": ""BRETENOUX BIARS GARE""}";Bretenoux - Biars;Bretenoux - Biars;True;False;DRG Nlle Aquitaine;REGION LIMOUSIN;UG Limousin;BRETENOUX BIARS GARE;1;BXB;44.9273692,1.8436871
01130-1;01130;0087594655;2018-04-30;Vignols - Saint-Solve;19130;;;;;1.397515;45.313078;c;1;GARES C LIMOUSIN;;;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Vignols - Saint-Solve"", ""Alias_Libelle_Fronton"": ""Vignols - Saint-Solve"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": null, ""UG_Libelle"": null, ""UT_Libelle"": null}";Vignols - Saint-Solve;Vignols - Saint-Solve;True;False;DRG Nlle Aquitaine;;;;1;;45.313078,1.397515
01141-1;01141;0087594424;;Larche;19600;;;;;1.416143;45.1321707;c;1;GARES C LIMOUSIN;;;;;;;;;;;;;;45.1321707,1.416143
01161-1;01161;0087592824;;Saint-Yrieix-la-Perche;87500;;;;;1.2053608;45.5192516;c;1;GARES C LIMOUSIN;;;;;;;;;;;;;;45.5192516,1.2053608
01174-1;01174;0087592501;;La Coquille;24450;;;;;0.9744005;45.5408509;c;1;GARES C AQUITAINE;"[{""TVS_Code"": ""LCQ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Coquille"", ""Alias_Libelle_Fronton"": ""La Coquille"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""LA COQUILLE GARE""}";La Coquille;La Coquille;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;LA COQUILLE GARE;1;LCQ;45.5408509,0.9744005
01175-1;01175;0087592493;;Saint-Sébastien;23160;;;;;1.5466809;46.3859938;c;1;GARES C LIMOUSIN;;;;;;;;;;;;;;46.3859938,1.5466809
01176-1;01176;0087592485;;Bellac;87300;;;;;1.0461168;46.1252044;c;1;GARES C LIMOUSIN;"[{""TVS_Code"": ""BLL""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Bellac"", ""Alias_Libelle_Fronton"": ""Bellac"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION LIMOUSIN"", ""UG_Libelle"": ""UG Limousin"", ""UT_Libelle"": ""BELLAC GARE""}";Bellac;Bellac;True;False;DRG Nlle Aquitaine;REGION LIMOUSIN;UG Limousin;BELLAC GARE;1;BLL;46.1252044,1.0461168
01177-1;01177;0087592451;;Vaulry;87140;;;;;1.1091331;46.0247131;c;1;GARES C LIMOUSIN;;;;;;;;;;;;;;46.0247131,1.1091331
01178-1;01178;0087592444;;Nantiat;87140;;;;;1.1563734;46.0056192;c;1;GARES C LIMOUSIN;"[{""TVS_Code"": ""NNA""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Nantiat"", ""Alias_Libelle_Fronton"": ""Nantiat"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION LIMOUSIN"", ""UG_Libelle"": ""UG Limousin"", ""UT_Libelle"": ""NANTIAT GARE""}";Nantiat;Nantiat;True;False;DRG Nlle Aquitaine;REGION LIMOUSIN;UG Limousin;NANTIAT GARE;1;NNA;46.0056192,1.1563734
01179-1;01179;0087592428;;Peyrilhac - Saint-Jouvent;87510;;;;;1.1699844;45.9596182;c;1;GARES C LIMOUSIN;;;;;;;;;;;;;;45.9596182,1.1699844
01188-1;01188;0087592287;;Saint-Germain-les-Belles;87380;;;;;1.4800397;45.6098703;c;1;GARES C LIMOUSIN;"[{""TVS_Code"": ""SGN""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Saint-Germain-les-Belles"", ""Alias_Libelle_Fronton"": ""Saint-Germain-les-Belles"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION LIMOUSIN"", ""UG_Libelle"": ""UG Limousin"", ""UT_Libelle"": ""SAINT GERMAIN LES BELLES GARE""}";Saint-Germain-les-Belles;Saint-Germain-les-Belles;True;False;DRG Nlle Aquitaine;REGION LIMOUSIN;UG Limousin;SAINT GERMAIN LES BELLES GARE;1;SGN;45.6098703,1.4800397
01204-1;01204;0087592022;;Limoges Montjovis;87100;;;;;1.2514147;45.8384117;c;1;GARES C LIMOUSIN;"[{""TVS_Code"": ""LMJ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Limoges Montjovis"", ""Alias_Libelle_Fronton"": ""Limoges Montjovis"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION LIMOUSIN"", ""UG_Libelle"": ""UG Limousin"", ""UT_Libelle"": ""LIMOGES MONTJOVIS GARE""}";Limoges Montjovis;Limoges Montjovis;True;False;DRG Nlle Aquitaine;REGION LIMOUSIN;UG Limousin;LIMOGES MONTJOVIS GARE;1;LMJ;45.8384117,1.2514147
01205-1;01205;0087592006;;Limoges Bénédictins;87000;;;;;1.267356;45.836089;a;2;GARE LIMOGES BENEDICTINS;;;;;;;;;;;;;;45.836089,1.267356
01209-1;01209;0087590331;;Haluchère Batignolles;44000;;;;;-1.5224436;47.249142;c;1;GARES C PAYS DE LA LOIRE;;;;;;;;;;;;;;47.249142,-1.5224436
01210-1;01210;0087586693;;Aiguillon;47190;;;;;0.3352388;44.2987224;c;1;GARES C AQUITAINE;"[{""TVS_Code"": ""AIN""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Aiguillon"", ""Alias_Libelle_Fronton"": ""Aiguillon"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""AIGUILLON GARE""}";Aiguillon;Aiguillon;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;AIGUILLON GARE;1;AIN;44.2987224,0.3352388
01214-1;01214;0087586479;;Sainte-Bazeille;47180;;;;;0.0931269;44.5326935;c;1;GARES C AQUITAINE;"[{""TVS_Code"": ""XBZ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Sainte-Bazeille"", ""Alias_Libelle_Fronton"": ""Sainte-Bazeille"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""SAINTE BAZEILLE GARE""}";Sainte-Bazeille;Sainte-Bazeille;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;SAINTE BAZEILLE GARE;1;XBZ;44.5326935,0.0931269
01217-1;01217;0087586438;;Penne-d'Agenais;47140;;;;;0.8029779;44.3799858;c;1;GARES C AQUITAINE;;;;;;;;;;;;;;44.3799858,0.8029779
01219-1;01219;0087586404;;Pont-du-Casse;47480;;;;;0.6758568;44.2328145;c;1;GARES C AQUITAINE;;;;;;;;;;;;;;44.2328145,0.6758568
01223-1;01223;0087586008;;Agen;47000;;;;;0.620932;44.208311;a;2;GARE AGEN;;;;;;;;;;;;;;44.208311,0.620932
01231-1;01231;0087584532;;Les Églisottes-et-Chalaures;33230;;;;;-0.0437576;45.0942299;c;1;GARES C AQUITAINE;;;;;;;;;;;;;;45.0942299,-0.0437576
01237-1;01237;0087584425;;Couze;24150;;;;;0.7036282;44.836574;c;1;GARES C AQUITAINE;;;;;;;;;;;;;;44.836574,0.7036282
01239-1;01239;0087584243;;Lamonzie-Saint-Martin;24680;;;;;0.3854609;44.8450247;c;1;GARES C AQUITAINE;;;;;;;;;;;;;;44.8450247,0.3854609
01242-1;01242;0087584193;;Sainte-Foy-la-Grande;33220;;;;;0.221519;44.836886;b;1;GARES B AQUITAINE;"[{""TVS_Code"": ""SFY""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Sainte-Foy-la-Grande"", ""Alias_Libelle_Fronton"": ""Sainte-Foy-la-Grande"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""SAINTE FOY LA GRANDE P GARE""}";Sainte-Foy-la-Grande;Sainte-Foy-la-Grande;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;SAINTE FOY LA GRANDE P GARE;1;SFY;44.836886,0.221519
01251-1;01251;0087583674;;Montmoreau;16190;;;;;0.1380013;45.3982987;c;1;GARES C POITOU CHARENTES;;;;;;;;;;;;;;45.3982987,0.1380013
01253-1;01253;0087583443;;Chasseneuil-sur-Bonnieure;16260;;;;;0.4535528;45.8244091;c;1;GARES C POITOU CHARENTES;;;;;;;;;;;;;;45.8244091,0.4535528
01266-1;01266;0087582742;;Cérons;33720;;;;;-0.340526;44.632346;b;1;GARES B AQUITAINE;"[{""TVS_Code"": ""CGD""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Cérons"", ""Alias_Libelle_Fronton"": ""Cérons"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""CERONS GARE""}";Cérons;Cérons;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;CERONS GARE;1;CGD;44.632346,-0.340526
01272-1;01272;0087582684;;Cadaujac;33140;;;;;-0.5376186;44.7520628;c;1;GARES C AQUITAINE;"[{""TVS_Code"": ""CDJ""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Cadaujac"", ""Alias_Libelle_Fronton"": ""Cadaujac"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""CADAUJAC GARE""}";Cadaujac;Cadaujac;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;CADAUJAC GARE;1;CDJ;44.7520628,-0.5376186
01274-1;01274;0087582643;;La Teste-de-Buch;33260;;;;;-1.14295;44.636924;b;1;GARES B AQUITAINE;"[{""TVS_Code"": ""TTE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""La Teste-de-Buch"", ""Alias_Libelle_Fronton"": ""La Teste"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""LA TESTE GARE""}";La Teste-de-Buch;La Teste;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;LA TESTE GARE;1;TTE;44.636924,-1.14295
01278-1;01278;0087582551;;Labouheyre;40210;;;;;-0.9209296;44.2106292;c;1;GARES C AQUITAINE;"[{""TVS_Code"": ""LBH""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Labouheyre"", ""Alias_Libelle_Fronton"": ""Labouheyre"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""LABOUHEYRE GARE""}";Labouheyre;Labouheyre;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;LABOUHEYRE GARE;1;LBH;44.2106292,-0.9209296
01282-1;01282;0087582437;2014-12-31;Croix d'Hins;33380;;;;;;;c;1;GARES C AQUITAINE;;;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Croix d'Hins"", ""Alias_Libelle_Fronton"": ""Croix d'Hins"", ""AgenceGC_Libelle"": ""Agence Nouvelle-Aquitaine"", ""RegionSNCF_Libelle"": null, ""UG_Libelle"": null, ""UT_Libelle"": null}";Croix d'Hins;Croix d'Hins;True;False;Agence Nouvelle-Aquitaine;;;;1;;
01285-1;01285;0087581835;;Villenave-d'Ornon;33140;;;;;-0.5472574;44.7683428;c;1;GARES C BORDEAUX METRO;;;;;;;;;;;;;;44.7683428,-0.5472574
01292-1;01292;0087581595;;Cenon;33150;;;;;-0.5336487;44.8563465;b;1;GARES B BORDEAUX METRO;"[{""TVS_Code"": ""CBX""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Cenon"", ""Alias_Libelle_Fronton"": ""Cenon"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Bordeaux Métropole"", ""UT_Libelle"": ""CENON HALTE""}";Cenon;Cenon;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Bordeaux Métropole;CENON HALTE;1;CBX;44.8563465,-0.5336487
01294-1;01294;0087581397;;Pointe de Grave;33780;;;;;-1.0658575;45.567067;c;1;GARES C AQUITAINE;"[{""TVS_Code"": ""PDG""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Pointe de Grave"", ""Alias_Libelle_Fronton"": ""Pointe de Grave"", ""AgenceGC_Libelle"": ""DRG Nlle Aquitaine"", ""RegionSNCF_Libelle"": ""REGION POITOU-CHARENTES AQUITAINE"", ""UG_Libelle"": ""UG Aquitaine"", ""UT_Libelle"": ""LA POINTE DE GRAVE GARE""}";Pointe de Grave;Pointe de Grave;True;False;DRG Nlle Aquitaine;REGION POITOU-CHARENTES AQUITAINE;UG Aquitaine;LA POINTE DE GRAVE GARE;1;PDG;45.567067,-1.0658575
01295-1;01295;0087581389;;Le Verdon-sur-Mer;33123;;;;;-1.0650925;45.5492065;c;1;GARES C AQUITAINE;;;;;;;;;;;;;;45.5492065,-1.0650925
01310-1;01310;0087576728;;Mennetou-sur-Cher;41320;;;;;1.8765238;47.2688835;c;1;GARES C CENTRE;"[{""TVS_Code"": ""MNN""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Mennetou-sur-Cher"", ""Alias_Libelle_Fronton"": ""Mennetou-sur-Cher"", ""AgenceGC_Libelle"": ""DRG B-CVL-PDL"", ""RegionSNCF_Libelle"": ""REGION CENTRE"", ""UG_Libelle"": ""UG Centre"", ""UT_Libelle"": ""MENNETOU SUR CHER GARE""}";Mennetou-sur-Cher;Mennetou-sur-Cher;True;False;DRG B-CVL-PDL;REGION CENTRE;UG Centre;MENNETOU SUR CHER GARE;1;MNN;47.2688835,1.8765238
