Code plate-forme;Code gare;Code UIC;Date fin validité plateforme;Intitulé plateforme;Code postal;Code Commune;Commune;Code département;Département;Longitude;Latitude;Segment DRG;Niveau de service;RG;TVSs;SOPs;Gare;Intitulé gare;Intitulé fronton de gare;Gare DRG;Gare étrangère;DTG;Région SNCF;Unité gare;UT;Nbre plateformes;TVS;WGS 84
02177-1;02177;0087342204;;Fouquereuil;62232;;;;;2.6074449;50.5255091;c;1;GARES C NORD PAS DE CALAIS;"[{""TVS_Code"": ""FQE""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Fouquereuil"", ""Alias_Libelle_Fronton"": ""Fouquereuil"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": ""REGION NORD PAS DE CALAIS"", ""UG_Libelle"": ""UG Nord Pas de Calais"", ""UT_Libelle"": ""FOUQUEREUIL P GARE""}";Fouquereuil;Fouquereuil;True;False;DRG HDF-Normandie;REGION NORD PAS DE CALAIS;UG Nord Pas de Calais;FOUQUEREUIL P GARE;1;FQE;50.5255091,2.6074449
02180-1;02180;0087342121;;Mazingarbe;62670;;;;;2.7005447;50.4608957;c;1;GARES C NORD PAS DE CALAIS;;;;;;;;;;;;;;50.4608957,2.7005447
02184-1;02184;0087342089;;Rœux;62118;;;;;2.8950172;50.3034404;c;1;GARES C NORD PAS DE CALAIS;;;;;;;;;;;;;;50.3034404,2.8950172
02196-1;02196;0087334508;;La Poterie;35500;;;;;-1.6307729;48.0923448;c;1;GARES C BRETAGNE;;;;;;;;;;;;;;48.0923448,-1.6307729
02199-1;02199;0087328328;;Bibliothèque François Mitterrand;75013;;;;;2.37684;48.82984;b;;GARES B IDF LIGNE C;"[{""TVS_Code"": ""BFM""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Bibliothèque François Mitterrand"", ""Alias_Libelle_Fronton"": ""Bibliothèque François Mitterrand"", ""AgenceGC_Libelle"": ""DGIF"", ""RegionSNCF_Libelle"": ""REGION DE PARIS RIVE GAUCHE"", ""UG_Libelle"": null, ""UT_Libelle"": ""PARIS TOLBIAC""}";Bibliothèque François Mitterrand;Bibliothèque François Mitterrand;True;False;DGIF;REGION DE PARIS RIVE GAUCHE;;PARIS TOLBIAC;1;BFM;48.82984,2.37684
02201-1;02201;0087328021;;Les Cauquillous;81500;;;;;1.7546798;43.7340198;c;1;GARES C MIDI PYRENEES;"[{""TVS_Code"": ""CQO""}]";;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Les Cauquillous"", ""Alias_Libelle_Fronton"": ""Les Cauquillous"", ""AgenceGC_Libelle"": ""DRG Occitanie Sud"", ""RegionSNCF_Libelle"": ""REGION MIDI PYRENEES"", ""UG_Libelle"": ""UG Toulouse Occitanie Pyrénées"", ""UT_Libelle"": ""LAVAUR LES CAUQUILLOUS HALTE""}";Les Cauquillous;Les Cauquillous;True;False;DRG Occitanie Sud;REGION MIDI PYRENEES;UG Toulouse Occitanie Pyrénées;LAVAUR LES CAUQUILLOUS HALTE;1;CQO;43.7340198,1.7546798
02211-1;02211;0087317537;;Eu;76260;;;;;1.416837;50.0541988;c;1;GARES C HAUTE NORMANDIE;;;;;;;;;;;;;;50.0541988,1.416837
02213-1;02213;0087317511;2018-03-31;Woincourt;80520;;;;;1.537044;50.05867;c;1;GARES C PICARDIE;;;;;;;;;;;;;;50.05867,1.537044
02216-1;02216;0087317487;2018-03-31;Quesnoy-le-Montant;80132;;;;;1.7024945;50.1089683;c;1;GARES C PICARDIE;;;"{""DRG_ON"": true, ""Etrangere_ON"": false, ""NbPltf"": 1, ""Alias_Libelle_NonContraint"": ""Quesnoy-le-Montant"", ""Alias_Libelle_Fronton"": ""Quesnoy-le-Montant"", ""AgenceGC_Libelle"": ""DRG HDF-Normandie"", ""RegionSNCF_Libelle"": null, ""UG_Libelle"": null, ""UT_Libelle"": null}";Quesnoy-le-Montant;Quesnoy-le-Montant;True;False;DRG HDF-Normandie;;;;1;;50.1089683,1.7024945
02221-1;02221;0087317321;;Caffiers;62132;;;;;1.8120345;50.8500679;c;1;GARES C NORD PAS DE CALAIS;;;;;;;;;;;;;;50.8500679,1.8120345
